Indicator code,Indicator name,Pillar
NW.PCA.PC,Produced capital per capita (real chained 2019 US$),Unknown
NW.PCA.TO,Produced capital (real chained 2019 US$),Unknown
NW.TOW.PC,National comprehensive wealth per capita index (real chained 2019 US$),Unknown
NW.TOW.TO,National comprehensive wealth index (real chained 2019 US$),Unknown
SH.STA.OWAD.ZS,Prevalence of overweight (% of adults),S
EN.CLC.CSTP.ZS,Coastal protection,E
AG.LND.FRLS.HA,Tree Cover Loss,E
AG.LND.PFLS.HA,Primary Forest Loss,E
EN.CLC.CDDY.XD,Cooling Degree Days,E
EN.CLC.HDDY.XD,Heating Degree Days,E
EN.CLC.HEAT.XD,Heat Index 35,E
EN.H2O.BDYS.ZS,Proportion of bodies of water with good ambient water quality,E
EN.CLC.SPEI.XD,Standardised Precipitation-Evapotranspiration Index,E
SD.ESR.PERF.XQ,Economic and Social Rights Performance Score,E
EN.LND.LTMP.DC,Land Surface Temperature,E
SL.UEM.NEET.ME.ZS,"Share of youth not in education, employment or training, total (% of youth population)  (modeled ILO estimate)",S
SL.UEM.NEET.FE.ME.ZS,"Share of youth not in education, employment or training, female (% of female youth population) (modeled ILO estimate)",S
SL.EMP.WORK.ZS,"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",S
SL.EMP.WORK.FE.ZS,"Wage and salaried workers, female (% of female employment) (modeled ILO estimate)",S
