ISO3 code,year,Economy,GDP_growth,E_score,S_score,G_score,E_score_lag1,S_score_lag1,G_score_lag1,inflation,population_growth,d_E_score
MYS,2006,Malaysia,5.5848,34.02545132716327,52.628330925912,7.764698466271877,33.91456602372197,51.044260048440776,0.2231732975752062,3.6092,2.2271,0.11088530344130021
MYS,2007,Malaysia,6.2988,34.91164945583113,50.79650774411426,0.220892134682515,34.02545132716327,52.628330925912,7.764698466271877,2.0274,2.1735,0.8861981286678642
MYS,2008,Malaysia,4.8318,35.99921115819785,52.26439205918359,8.822380267236632,34.91164945583113,50.79650774411426,0.220892134682515,5.4408,2.0953,1.0875617023667203
MYS,2009,Malaysia,-1.5135,35.90475277625863,50.99508593505127,7.878878154825019,35.99921115819785,52.26439205918359,8.822380267236632,0.5833,1.9921,-0.0944583819392193
MYS,2010,Malaysia,7.4248,35.816246151099286,52.6282813779092,8.08049346313524,35.90475277625863,50.99508593505127,7.878878154825019,1.6229,1.8704,-0.08850662515934715
MYS,2011,Malaysia,5.2939,36.28201707187223,53.33794324050147,8.757997613901209,35.816246151099286,52.6282813779092,8.08049346313524,3.1745,1.7513,0.4657709207729468
MYS,2012,Malaysia,5.4735,36.70673570890568,51.678515976815625,8.517880902598247,36.28201707187223,53.33794324050147,8.757997613901209,1.6636,1.7027,0.42471863703345036
MYS,2013,Malaysia,4.6937,36.502377264315264,53.80491962328124,1.1521055814616272,36.70673570890568,51.678515976815625,8.517880902598247,2.105,1.7095,-0.20435844459041874
MYS,2014,Malaysia,6.0067,37.05819473768109,52.070293021757,9.813551081679632,36.502377264315264,53.80491962328124,1.1521055814616272,3.143,1.7147,0.5558174733658277
MYS,2015,Malaysia,5.0915,36.47853587122391,54.858391989897534,8.766399253648974,37.05819473768109,52.070293021757,9.813551081679632,2.1044,1.7332,-0.57965886645718
MYS,2016,Malaysia,4.4498,36.51509938630254,53.5036835291256,10.988129068591574,36.47853587122391,54.858391989897534,8.766399253648974,2.0906,1.7673,0.036563515078626097
MYS,2017,Malaysia,5.8127,36.11353771243851,53.21693693970952,0.17722988376556,36.51509938630254,53.5036835291256,10.988129068591574,3.8712,1.7647,-0.4015616738640304
MYS,2018,Malaysia,4.8431,36.39534524319745,55.38783050017504,6.9453918318397685,36.11353771243851,53.21693693970952,0.17722988376556,0.8847,1.7017,0.2818075307589396
MYS,2019,Malaysia,4.4132,35.829441450262514,54.60285827278565,0.1355879137414455,36.39534524319745,55.38783050017504,6.9453918318397685,0.6629,1.5965,-0.5659037929349324
MYS,2020,Malaysia,-5.4568,35.908384165636896,50.292716120790416,7.344168575453293,35.829441450262514,54.60285827278565,0.1355879137414455,-1.1387,1.3336,0.07894271537438158
MYS,2021,Malaysia,3.3153,34.810780315427124,56.13399003496694,0.0,35.908384165636896,50.292716120790416,7.344168575453293,2.4771,1.1525,-1.0976038502097722
MYS,2022,Malaysia,9.0317,34.37195305174111,57.447337103923616,,34.810780315427124,56.13399003496694,0.0,3.3787,1.1978,-0.4388272636860151
MYS,2023,Malaysia,3.5371,31.86326081042127,53.22185255724829,,34.37195305174111,57.447337103923616,,2.4889,1.234,-2.5086922413198387
MYS,2024,Malaysia,5.1055,29.781020143928032,47.66959417904814,,31.86326081042127,53.22185255724829,,1.8341,1.2206,-2.082240666493238
PHL,1961,Philippines,5.6955,23.509561462383164,51.65822629584789,,21.20299620128591,43.54425656229966,,1.5956,3.1783,
PHL,1962,Philippines,4.8463,24.669614717120822,51.68140677503455,,23.509561462383164,51.65822629584789,,5.7967,3.182,1.160053254737658
PHL,1963,Philippines,7.0163,22.717187821669285,51.67132304541981,,24.669614717120822,51.68140677503455,,5.6255,3.15,-1.9524268954515378
PHL,1964,Philippines,3.4025,24.302359148320832,51.58567007788252,,22.717187821669285,51.67132304541981,,8.1831,3.1079,1.5851713266515475
PHL,1965,Philippines,5.3451,23.019736789951008,51.490900030083495,,24.302359148320832,51.58567007788252,,2.5641,3.0571,-1.2826223583698244
PHL,1966,Philippines,4.4412,23.88377995592629,51.269511573045165,,23.019736789951008,51.490900030083495,,5.4,2.9948,0.8640431659752821
PHL,1967,Philippines,5.2227,23.136629551238457,51.21471513340799,,23.88377995592629,51.269511573045165,,6.254,2.9433,-0.747150404687833
PHL,1968,Philippines,5.0382,21.4398528952967,51.032167345888446,,23.136629551238457,51.21471513340799,,2.3588,2.8952,-1.6967766559417576
PHL,1969,Philippines,4.6895,21.898557001553925,50.70938062536908,,21.4398528952967,51.032167345888446,,1.9555,2.8286,0.45870410625722613
PHL,1970,Philippines,3.6925,23.35352352661033,45.32365128263123,,21.898557001553925,50.70938062536908,,14.3815,2.5886,1.4549665250564061
PHL,1971,Philippines,5.389,25.822322175246555,48.01150172180121,,23.35352352661033,45.32365128263123,,21.4033,2.3548,2.4687986486362234
PHL,1972,Philippines,5.4304,25.270171813203607,47.60974071814921,,25.822322175246555,48.01150172180121,,8.204,2.284,-0.5521503620429478
PHL,1973,Philippines,8.782,25.685784374461026,47.298642072309335,,25.270171813203607,47.60974071814921,,16.58,2.2223,0.41561256125741863
PHL,1974,Philippines,3.3946,25.740088065045075,46.83752982567994,,25.685784374461026,47.298642072309335,,34.1636,2.1609,0.05430369058404949
PHL,1975,Philippines,5.4511,25.77110063615709,46.53834807582983,,25.740088065045075,46.83752982567994,,6.7614,2.2727,0.031012571112015053
PHL,1976,Philippines,8.7784,25.720236041509565,47.79618233376704,,25.77110063615709,46.53834807582983,,9.1992,2.5333,-0.0508645946475248
PHL,1977,Philippines,5.563,25.683785230182053,49.93620120292114,,25.720236041509565,47.79618233376704,,9.8988,2.6643,-0.036450811327512156
PHL,1978,Philippines,5.1924,25.950027806811995,49.77000960113089,,25.683785230182053,49.93620120292114,,7.3345,2.6848,0.2662425766299421
PHL,1979,Philippines,5.5956,25.888902296909944,49.42378955077093,,25.950027806811995,49.77000960113089,,17.5333,2.6669,-0.06112550990205179
PHL,1980,Philippines,5.2007,26.30624854098393,48.44944995889674,,25.888902296909944,49.42378955077093,,18.2005,2.6077,0.41734624407398613
PHL,1981,Philippines,3.4222,27.37610311336425,49.56257494278972,,26.30624854098393,48.44944995889674,,13.0826,2.605,1.0698545723803186
PHL,1982,Philippines,3.6984,27.106113643256823,48.75025973031124,,27.37610311336425,49.56257494278972,,10.2217,2.7679,-0.2699894701074257
PHL,1983,Philippines,1.897,27.19543017648939,49.731828907903655,,27.106113643256823,48.75025973031124,,10.0294,2.9138,0.08931653323256583
