ISO3 code,Economy,year,GDP_growth,E_score,S_score,G_score,E_score_lag1,S_score_lag1,G_score_lag1,inflation,population_growth
IDN,Indonesia,2021,3.7029,55.018210901207894,50.77567517841749,68.12045690550363,53.643279615454446,51.204060056684426,55.31310701784698,1.5601,0.7046
IDN,Indonesia,2022,5.3072,58.940640224425046,52.650342219852384,69.9896157840083,55.018210901207894,50.77567517841749,68.12045690550363,4.2095,0.7461
IDN,Indonesia,2023,5.049,58.40308123905393,54.75723413168819,69.26272066458982,58.940640224425046,52.650342219852384,69.9896157840083,3.6694,0.8427
IDN,Indonesia,2024,5.0303,65.0041462489323,53.88263153694709,67.91277258566979,58.40308123905393,54.75723413168819,69.26272066458982,2.1815,0.8139
KHM,Cambodia,1976,0.0,16.47757657644312,14.595060708713492,,15.407946582667991,20.367075946371635,,,-7.0234
KHM,Cambodia,1977,-14.6764,15.06679456084046,12.574189781850224,,16.47757657644312,14.595060708713492,,,-7.9075
KHM,Cambodia,1978,0.0,16.988560903832173,14.313488749581643,,15.06679456084046,12.574189781850224,,,-8.4036
KHM,Cambodia,1979,-12.8286,16.33051869595065,37.98992745033043,,16.988560903832173,14.313488749581643,,,-2.3853
KHM,Cambodia,1980,-5.6684,17.351925601889103,43.49639785894918,,16.33051869595065,37.98992745033043,,,2.159
KHM,Cambodia,1981,0.0411,17.910910625291805,45.77060797265811,,17.351925601889103,43.49639785894918,,,1.6143
KHM,Cambodia,1982,0.0,18.359042382172277,47.81480836021726,,17.910910625291805,45.77060797265811,,,2.8346
KHM,Cambodia,1983,4.4334,20.563234797593427,49.958378142116835,,18.359042382172277,47.81480836021726,,,3.6088
KHM,Cambodia,1984,4.9321,19.357208094560576,49.423772672245114,,20.563234797593427,49.958378142116835,,,3.6396
KHM,Cambodia,1985,4.6702,19.26769062759441,49.765875045018554,,19.357208094560576,49.423772672245114,,,3.3424
KHM,Cambodia,1986,3.8008,19.478774470485007,50.74007272826759,,19.26769062759441,49.765875045018554,,,3.9246
KHM,Cambodia,1987,21.5315,19.985138098334872,51.15689871057282,,19.478774470485007,50.74007272826759,,,4.2405
KHM,Cambodia,1988,11.9769,20.520760440163713,48.80866968452692,,19.985138098334872,51.15689871057282,,,3.8007
KHM,Cambodia,1989,3.4794,18.361731119762975,50.142034226634955,,20.520760440163713,48.80866968452692,,,3.7664
KHM,Cambodia,1990,1.1623,19.582104577959363,52.41802171272782,,18.361731119762975,50.142034226634955,,,4.1711
KHM,Cambodia,1991,7.5913,18.122733446124005,48.80111891790012,,19.582104577959363,52.41802171272782,,,4.1449
KHM,Cambodia,1992,7.0175,17.551409892853545,50.730073130655235,,18.122733446124005,48.80111891790012,,,5.3967
KHM,Cambodia,1993,4.0984,17.987869612066618,50.3940043850515,,17.551409892853545,50.730073130655235,,,6.0187
KHM,Cambodia,1994,-34.8086,18.77205611352335,53.10357965863751,,17.987869612066618,50.3940043850515,,,6.9786
KHM,Cambodia,1995,9.9035,23.659969319257705,48.478474858200336,0.0,18.77205611352335,53.10357965863751,,-0.7989,8.0982
KHM,Cambodia,1996,5.8975,23.001295794175622,47.94697334867828,0.0,23.659969319257705,48.478474858200336,0.0,7.1509,7.5231
KHM,Cambodia,1997,4.0066,22.009513489021565,44.408078646060524,0.0,23.001295794175622,47.94697334867828,0.0,7.9602,6.8837
KHM,Cambodia,1998,4.6816,23.72691764280541,38.256802412220765,0.0,22.009513489021565,44.408078646060524,0.0,14.8065,4.1242
KHM,Cambodia,1999,12.7054,22.927377415439288,40.24749544078135,0.0,23.72691764280541,38.256802412220765,0.0,4.0082,1.7067
KHM,Cambodia,2000,9.9936,23.645198746690074,38.80143683027793,0.0,22.927377415439288,40.24749544078135,0.0,-0.792,1.5902
KHM,Cambodia,2001,7.3897,23.380028651467217,39.751170760667705,0.0,23.645198746690074,38.80143683027793,0.0,-0.6006,1.5617
